Area_Name,HR,lon,lat
Hollywood,14,-118.3383,34.1042
Van Nuys,11,-118.4491,34.1491
Devonshire,12,-118.5929,34.25
Northeast,11,-118.2545,34.1078
Mission,0,-118.4543,34.2582
77th Street,11,-118.2803,33.9718
Hollywood,0,-118.3056,34.0981
West LA,9,-118.4521,34.0426
Southwest,8,-118.3692,34.0216
Olympic,20,-118.3142,34.0559
Wilshire,17,-118.3409,34.0483
West Valley,20,-118.5578,34.1728
Northeast,10,-118.2713,34.1367
77th Street,20,-118.2849,33.9661
N Hollywood,14,-118.3974,34.1325
N Hollywood,17,-118.379,34.1867
Devonshire,13,-118.5361,34.2533
Southeast,15,-118.2916,33.9415
West LA,20,-118.5288,34.0403
Foothill,15,-118.3839,34.2465
West LA,10,-118.4361,34.0462
Southeast,2,-118.2827,33.9092
Harbor,13,-118.2905,33.8502
Rampart,23,-118.2833,34.0682
Olympic,18,-118.2917,34.0745
Wilshire,15,-118.3638,34.0855
77th Street,13,-118.2915,33.996
West Valley,18,-118.5099,34.2084
Van Nuys,13,-118.4313,34.2012
West LA,10,-118.4656,34.0423
Hollywood,16,-118.3362,34.1114
Van Nuys,15,-118.4465,34.153
Southeast,4,-118.2586,33.9337
Central,19,-118.2381,34.0433
Pacific,22,-118.4308,34.0255
77th Street,13,-118.2739,33.9713
Hollywood,15,-118.3078,34.0908
Van Nuys,21,-118.4225,34.1468
77th Street,8,-118.3171,33.9932
Devonshire,14,-118.5536,34.2355
N Hollywood,23,-118.373,34.1722
Van Nuys,19,-118.44,34.1721
Rampart,13,-118.2779,34.0416
Southeast,6,-118.2564,33.9584
Southeast,17,-118.2826,33.9446
Wilshire,23,-118.3513,34.0436
77th Street,18,-118.3178,33.9637
N Hollywood,15,-118.3753,34.1236
Harbor,17,-118.3136,33.7329
Mission,1,-118.4543,34.2609
Harbor,14,-118.2879,33.7379
77th Street,19,-118.309,33.9746
Devonshire,21,-118.5536,34.2428
Van Nuys,16,-118.4312,34.194
N Hollywood,20,-118.379,34.1794
Hollywood,14,-118.3223,34.0926
Northeast,9,-118.1905,34.112
Pacific,18,-118.4286,34.0274
Northeast,20,-118.2874,34.1086
Hollywood,18,-118.3387,34.1016
Mission,15,-118.4516,34.2248
Rampart,8,-118.2953,34.081
Newton,6,-118.2586,34.0258
77th Street,14,-118.2827,33.9965
Wilshire,14,-118.3695,34.0782
Northeast,14,-118.3005,34.0952
Pacific,9,-118.3963,33.9454
Devonshire,23,-118.5361,34.2573
Foothill,20,-118.3551,34.2163
West Valley,17,-118.5486,34.1944
Hollenbeck,10,-118.2198,34.0455
West Valley,10,-118.5208,34.2084
Southwest,9,-118.3412,34.0116
West Valley,17,-118.5273,34.1866
West Valley,19,-118.5011,34.1939
Pacific,9,-118.4013,33.9432
Southeast,22,-118.2826,33.9392
Rampart,15,-118.2806,34.0455
Harbor,19,-118.2633,33.7912
Southeast,20,-118.2916,33.9399
Pacific,12,-118.4168,34.0133
Hollenbeck,17,-118.1899,34.0821
77th Street,22,-118.2827,33.9679
Wilshire,19,-118.3441,34.0552
Northeast,23,-118.245,34.1186
Topanga,2,-118.604,34.2221
Harbor,12,-118.2917,33.791
Devonshire,19,-118.558,34.2355
77th Street,23,-118.2915,33.9892
West Valley,15,-118.5567,34.1432
Newton,23,-118.2739,33.9843
77th Street,16,-118.3003,33.96
Olympic,15,-118.3031,34.0577
Devonshire,13,-118.5885,34.2355
Van Nuys,20,-118.4574,34.1649
Wilshire,10,-118.3357,34.0487
77th Street,17,-118.3199,33.9709
Topanga,12,-118.6102,34.1828
West Valley,19,-118.5273,34.2048
Central,7,-118.2601,34.0473
Harbor,11,-118.2554,33.7731
Devonshire,11,-118.5842,34.2645
Mission,7,-118.4374,34.255
Newton,14,-118.2561,34.0259
77th Street,15,-118.2959,34.0027
77th Street,19,-118.3177,33.96
Wilshire,10,-118.3357,34.0487
Wilshire,14,-118.3573,34.0782
Rampart,6,-118.2553,34.0579
Southwest,10,-118.313,34.0146
West LA,11,-118.383,34.0399
Devonshire,23,-118.605,34.25
Hollenbeck,13,-118.22,34.0173
Topanga,22,-118.6233,34.1657
Newton,15,-118.2652,33.9748
Newton,10,-118.2448,34.0235
77th Street,15,-118.2959,33.96
Van Nuys,8,-118.4574,34.1903
West Valley,16,-118.536,34.2084
Southwest,18,-118.3128,34.0185
Hollenbeck,16,-118.1952,34.0759
Wilshire,2,-118.3732,34.0836
Wilshire,18,-118.344,34.0689
West Valley,9,-118.5298,34.1663
Topanga,12,-118.6147,34.1938
Southwest,11,-118.2827,34.0054
Van Nuys,6,-118.4728,34.1867
77th Street,8,-118.3352,33.9806
Mission,17,-118.4328,34.2217
West Valley,14,-118.536,34.2011
Southeast,11,-118.2363,33.9334
Wilshire,13,-118.3475,34.0589
Wilshire,8,-118.326,34.0762
Van Nuys,9,-118.4575,34.1877
Northeast,17,-118.2543,34.1079
West Valley,5,-118.557,34.1975
Rampart,10,-118.2825,34.0657
Southwest,8,-118.3556,34.0216
Hollywood,18,-118.3489,34.1016
N Hollywood,10,-118.3835,34.1946
Hollenbeck,13,-118.1933,34.0189
Harbor,15,-118.2908,33.7978
Hollenbeck,14,-118.2144,34.0765
Topanga,7,-118.5928,34.167
Rampart,23,-118.2719,34.0562
Devonshire,23,-118.5156,34.2359
Foothill,10,-118.4028,34.2485
Van Nuys,22,-118.4378,34.1976
Topanga,15,-118.5975,34.1793
Newton,10,-118.2432,33.9993
Pacific,18,-118.4643,33.9843
Southeast,18,-118.2867,33.8773
Wilshire,19,-118.3462,34.0835
Mission,16,-118.4676,34.2392
West Valley,12,-118.5186,34.1629
Olympic,1,-118.2916,34.0526
Olympic,21,-118.2932,34.0763
Harbor,11,-118.2778,33.7877
Foothill,15,-118.4281,34.2564
Wilshire,17,-118.3384,34.0571
Southwest,8,-118.2943,34.0328
Foothill,17,-118.418,34.2797
Central,13,-118.2574,34.0388
Van Nuys,11,-118.44,34.1867
Olympic,15,-118.3091,34.0577
Rampart,10,-118.2962,34.0814
Harbor,17,-118.2788,33.7747
Southeast,19,-118.2652,33.9275
Devonshire,12,-118.5448,34.2282
Olympic,18,-118.3177,34.0599
West LA,12,-118.4176,34.0325
Wilshire,17,-118.3377,34.0399
Wilshire,11,-118.3357,34.0487
Newton,23,-118.2525,34.0177
Newton,8,-118.253,34.0137
Hollywood,14,-118.3405,34.098
Harbor,4,-118.2934,33.7639
